,article_name,country,rev_id,article_quality,Population mid-2018 (millions)
0,Gladys Lundwe,Zambia,757566606.0,Stub,17.7
1,Mwamba Luchembe,Zambia,764848643.0,Stub,17.7
2,Thandiwe Banda,Zambia,768166426.0,Start,17.7
3,Sylvester Chisembele,Zambia,776082926.0,C,17.7
4,Victoria Kalima,Zambia,776530837.0,Start,17.7
5,Margaret Mwanakatwe,Zambia,779747587.0,Start,17.7
6,Nkandu Luo,Zambia,779747961.0,Start,17.7
7,Susan Nakazwe,Zambia,779748181.0,Start,17.7
8,Catherine Namugala,Zambia,779748285.0,Start,17.7
9,Edith Nawakwi,Zambia,779748522.0,Start,17.7
10,Joyce Nonde-Simukoko,Zambia,779748628.0,Start,17.7
11,Gladys Nyirongo,Zambia,779748837.0,C,17.7
12,Vera Tembo,Zambia,779748931.0,C,17.7
13,Ompie Nkumbula-Lieventhal,Zambia,790011468.0,Stub,17.7
14,Besnat Jere,Zambia,791225634.0,Stub,17.7
15,Esther Lungu,Zambia,792296625.0,C,17.7
16,Inonge Wina,Zambia,794006130.0,Start,17.7
17,Maureen Mwanawasa,Zambia,795820299.0,Start,17.7
18,First Lady of Zambia,Zambia,796467991.0,Start,17.7
19,Jean Kapata,Zambia,797469872.0,Start,17.7
20,Peter Sinkamba,Zambia,799512628.0,Start,17.7
21,Gwendoline Konie,Zambia,803304465.0,Start,17.7
22,Kenneth Kaunda,Zambia,805875783.0,C,17.7
23,Inonge Mbikusita-Lewanika,Zambia,805993958.0,Start,17.7
24,Yobert K. Shamapande,Zambia,806345311.0,C,17.7
25,Bir I of Kanem,Chad,355319463.0,Stub,15.4
26,Abdullah II of Kanem,Chad,498683267.0,Stub,15.4
27,Salmama II of Kanem,Chad,565745353.0,Stub,15.4
28,Kuri I of Kanem,Chad,565745365.0,Stub,15.4
29,Mohammed I of Kanem,Chad,565745375.0,Stub,15.4
30,Kuri II of Kanem,Chad,669719757.0,Stub,15.4
31,Bir II of Kanem,Chad,670893206.0,Stub,15.4
32,Mahamat Hissene,Chad,693055898.0,Stub,15.4
33,Othman I,Chad,705432607.0,Stub,15.4
34,Alphonse Kotiga,Chad,707593108.0,Stub,15.4
35,Oueddei Kichidemi,Chad,708346649.0,Start,15.4
36,Dunama I,Chad,710675092.0,Stub,15.4
37,Ahmad (Kanem-Bornu king),Chad,711388267.0,Stub,15.4
38,Djibrine Kerallah,Chad,712971263.0,Stub,15.4
39,Maurice Ngangtar,Chad,712971315.0,Stub,15.4
40,Idriss Miskine,Chad,712971738.0,Stub,15.4
41,Laoukein Kourayo Médard,Chad,716886170.0,Stub,15.4
42,Nadji Madou,Chad,716886788.0,Stub,15.4
43,Noël Milarew Odingar,Chad,716891799.0,Start,15.4
44,Yaya Dillo Djérou,Chad,717733209.0,Stub,15.4
45,Acheikh Ibn-Oumar,Chad,719821590.0,Start,15.4
46,Quatre Sou Quatre,Chad,720066754.0,Stub,15.4
47,Ali Gazi,Chad,722563340.0,Stub,15.4
48,Mahamat Djarma Khatir,Chad,725132042.0,Stub,15.4
49,Dunama IX Lefiami,Chad,731749611.0,Stub,15.4
50,Dawud of Kanem,Chad,736550266.0,Stub,15.4
51,Ahmed Koulamallah,Chad,738855197.0,Start,15.4
52,Abbo Nassour,Chad,741369486.0,B,15.4
53,Abdel Kader Baba-Laddé,Chad,742213176.0,Stub,15.4
54,Hummay,Chad,747271475.0,Stub,15.4
55,Ngarlejy Yorongar,Chad,751304544.0,C,15.4
56,Saleh Kezabo,Chad,751380073.0,Stub,15.4
57,Bourkou Louise Kabo,Chad,757072468.0,Start,15.4
58,Brahim Koulamallah,Chad,757802238.0,Stub,15.4
59,Saadie Goukouni Weddeye,Chad,757842614.0,Start,15.4
60,Mahamoud Adam Béchir,Chad,762579466.0,Start,15.4
61,Kalthouma Nguembang,Chad,762816132.0,Stub,15.4
62,Djidingar Dono Ngardoum,Chad,764133533.0,Stub,15.4
63,Template:ChadPMs,Chad,768123377.0,Stub,15.4
64,Template:ChadPres,Chad,770535091.0,Stub,15.4
65,Youssouf Saleh Abbas,Chad,771052289.0,B,15.4
66,Koibla Djimasta,Chad,774223245.0,Start,15.4
67,Nassour Guelendouksia Ouaido,Chad,774223248.0,C,15.4
68,Joseph Brahim Seid,Chad,777478442.0,Stub,15.4
69,Joseph Yodoyman,Chad,777550078.0,Start,15.4
70,Antoine Bangui,Chad,782638002.0,Start,15.4
71,Ibrahim IV of Bornu,Chad,785614014.0,Stub,15.4
72,Hadjé Halimé,Chad,786449636.0,C,15.4
73,Youssouf Togoïmi,Chad,787390241.0,Start,15.4
74,Adoum Younousmi,Chad,787719236.0,Start,15.4
75,François Tombalbaye,Chad,787738541.0,C,15.4
76,Ahmat Hassaballah Soubiane,Chad,787910771.0,Stub,15.4
77,Ahmad Allam-Mi,Chad,787921293.0,Start,15.4
78,Laotegguelnodji Koumtog,Chad,788009613.0,Stub,15.4
79,Mahamat Ali Adoum,Chad,788014671.0,Start,15.4
